Latitude cane,GJ net cane energy per GJ NPP,Ha cane,Ha cane normalized to max
35.792,2.514513746,47.323,0.000378584
35.708,2.558138167,154.18,0.00123344
35.625,2.556775832,202.05,0.0016164
35.542,2.543177977,176.31,0.00141048
35.458,2.680931084,139.72,0.00111776
35.375,2.617381962,195.17,0.00156136
35.292,2.461653814,138.28,0.00110624
35.208,2.336656462,199.95,0.0015996
35.125,1.884799859,302.56,0.00242048
35.042,1.630316392,727.93,0.00582344
34.958,1.559002897,1623.6,0.0129888
34.875,1.600844334,2269,0.018152
34.792,1.727982754,2338.4,0.0187072
34.708,1.840065692,2809.3,0.0224744
34.625,1.970950843,2980.6,0.0238448
34.542,2.021668174,3597.4,0.0287792
34.458,2.023134224,4647.6,0.0371808
34.375,2.047897261,4463.1,0.0357048
34.292,1.954629385,4110.7,0.0328856
34.208,2.009206846,3970.5,0.031764
34.125,2.043920606,4170,0.03336
34.042,1.978118464,3626.9,0.0290152
33.958,2.126856572,5228.1,0.0418248
33.875,2.173239681,5311.6,0.0424928
33.792,2.140866395,5173.3,0.0413864
33.708,2.060918241,5782.6,0.0462608
33.625,2.100291844,6541.6,0.0523328
33.542,1.981354459,8349.6,0.0667968
33.458,2.122765217,8776.8,0.0702144
33.375,2.136290526,9372,0.074976
33.292,2.201983802,9517.5,0.07614
33.208,2.207125103,9743.8,0.0779504
33.125,2.279628934,9834.7,0.0786776
33.042,2.377901194,10137,0.081096
32.958,2.55164884,12014,0.096112
32.875,2.521691105,12749,0.101992
32.792,2.611683448,13098,0.104784
32.708,2.611224634,13263,0.106104
32.625,2.820826026,13371,0.106968
32.542,3.021353637,13803,0.110424
32.458,3.049757771,14748,0.117984
32.375,2.701202507,17582,0.140656
32.292,2.632773986,18144,0.145152
32.208,2.569066967,21142,0.169136
32.125,2.627124103,21753,0.174024
32.042,2.672761816,22741,0.181928
31.958,2.732134,20954,0.167632
31.875,2.609828451,20482,0.163856
31.792,2.647092596,20840,0.16672
31.708,2.830714534,20011,0.160088
31.625,2.878101628,19515,0.15612
31.542,3.152841884,19806,0.158448
31.458,3.316171172,20363,0.162904
31.375,3.186983854,21934,0.175472
31.292,2.957291267,22432,0.179456
31.208,2.953722394,25073,0.200584
31.125,3.07646687,29530,0.23624
31.042,2.982504111,29010,0.23208
30.958,2.865961179,28682,0.229456
30.875,2.736961473,23869,0.190952
30.792,2.780980086,23798,0.190384
30.708,2.351468611,25248,0.201984
30.625,2.158153961,27492,0.219936
30.542,1.899755293,28396,0.227168
30.458,1.639005628,32953,0.263624
30.375,1.53666557,35228,0.281824
30.292,1.397006768,45246,0.361968
30.208,1.376593542,50301,0.402408
30.125,1.324312422,58081,0.464648
30.042,1.254296893,69676,0.557408
29.958,1.261697146,70361,0.562888
29.875,1.308374447,69227,0.553816
29.792,1.397687211,61107,0.488856
29.708,1.463004163,60729,0.485832
29.625,1.517834686,62035,0.49628
29.542,1.554029174,85049,0.680392
29.458,1.591873747,91211,0.729688
29.375,1.575294251,92821,0.742568
29.292,1.556589205,92273,0.738184
29.208,1.664593648,90895,0.72716
29.125,1.682045424,94271,0.754168
29.042,1.699893482,89312,0.714496
28.958,1.707160306,80145,0.64116
28.875,1.671443189,74170,0.59336
28.792,1.638065526,64219,0.513752
28.708,1.561032279,58286,0.466288
28.625,1.531472787,56727,0.453816
28.542,1.508697139,55760,0.44608
28.458,1.511816091,57831,0.462648
28.375,1.455530583,58697,0.469576
28.292,1.375760956,55587,0.444696
28.208,1.350317767,54595,0.43676
28.125,1.298704623,54661,0.437288
28.042,1.270290914,53075,0.4246
27.958,1.126795319,49204,0.393632
27.875,1.122397213,53869,0.430952
27.792,1.140465401,52785,0.42228
27.708,1.208794545,46957,0.375656
27.625,1.279817966,38082,0.304656
27.542,1.264418521,34937,0.279496
27.458,1.242949976,34237,0.273896
27.375,1.205413997,37624,0.300992
27.292,1.165698735,38856,0.310848
27.208,1.095958848,43770,0.35016
27.125,1.06913747,40900,0.3272
27.042,1.035721928,38055,0.30444
26.958,1.054492563,35723,0.285784
26.875,1.09799928,48826,0.390608
26.792,1.142040913,62428,0.499424
26.708,1.157415789,76699,0.613592
26.625,1.129249124,79169,0.633352
26.542,1.149142236,65596,0.524768
26.458,1.188273867,53183,0.425464
26.375,1.271664267,39498,0.315984
26.292,1.330070309,32954,0.263632
26.208,1.343568828,32546,0.260368
26.125,1.319467273,29694,0.237552
26.042,1.29404143,28668,0.229344
25.958,1.308946073,28634,0.229072
25.875,1.411361793,26935,0.21548
25.792,1.465487785,26109,0.208872
25.708,1.461851884,24899,0.199192
25.625,1.531043776,25673,0.205384
25.542,1.538384833,22567,0.180536
25.458,1.572794365,21100,0.1688
25.375,1.497305931,19306,0.154448
25.292,1.526451034,19652,0.157216
25.208,1.420433933,18235,0.14588
25.125,1.167164705,22101,0.176808
25.042,1.231885452,23146,0.185168
24.958,1.22289061,21662,0.173296
24.875,1.244195701,23945,0.19156
24.792,1.22841992,28605,0.22884
24.708,1.161044934,33488,0.267904
24.625,1.158582347,33697,0.269576
24.542,1.147757569,35995,0.28796
24.458,1.15084598,33296,0.266368
24.375,1.120195484,32581,0.260648
24.292,1.089238154,28615,0.22892
24.208,1.051338224,28764,0.230112
24.125,1.050087142,27242,0.217936
24.042,1.059569058,26335,0.21068
23.958,1.072692446,25408,0.203264
23.875,1.086446432,25493,0.203944
23.792,1.0841375,25993,0.207944
23.708,1.058755392,27895,0.22316
23.625,1.02366933,28402,0.227216
23.542,0.991963465,26007,0.208056
23.458,0.974803538,25424,0.203392
23.375,0.985047767,28940,0.23152
23.292,0.973661765,29623,0.236984
23.208,0.957352665,26990,0.21592
23.125,0.962540683,32161,0.257288
23.042,0.977111112,45633,0.365064
22.958,0.945683096,62530,0.50024
22.875,0.950889187,69995,0.55996
22.792,0.933208672,72939,0.583512
22.708,0.913317455,67872,0.542976
22.625,0.91859718,64324,0.514592
22.542,0.920876157,61226,0.489808
22.458,0.937271839,68756,0.550048
22.375,0.964153396,70550,0.5644
22.292,0.940976679,71100,0.5688
22.208,0.927605434,65158,0.521264
22.125,0.941314175,69661,0.557288
22.042,0.940946806,61948,0.495584
21.958,0.940285213,53556,0.428448
21.875,0.957576881,59814,0.478512
21.792,0.966329121,65464,0.523712
21.708,1.014001238,66996,0.535968
21.625,1.055079069,51413,0.411304
21.542,1.086108443,41834,0.334672
21.458,1.253963042,50294,0.402352
21.375,1.218688562,63675,0.5094
21.292,1.211626775,59022,0.472176
21.208,1.167130907,58838,0.470704
21.125,1.080642906,63483,0.507864
21.042,1.08900217,60209,0.481672
20.958,1.075396725,54478,0.435824
20.875,1.042231185,57566,0.460528
20.792,1.083276081,51724,0.413792
20.708,1.161080163,40443,0.323544
20.625,1.159998077,42530,0.34024
20.542,1.105564298,44022,0.352176
20.458,1.100370649,45511,0.364088
20.375,1.067320096,49196,0.393568
20.292,1.035485361,51113,0.408904
20.208,1.06015788,46180,0.36944
20.125,1.104467055,36541,0.292328
20.042,1.174352879,28950,0.2316
19.958,1.125681271,27887,0.223096
19.875,1.205912414,24428,0.195424
19.792,1.262975444,30448,0.243584
19.708,1.285303396,32030,0.25624
19.625,1.309081515,34447,0.275576
19.542,1.258326094,33862,0.270896
19.458,1.234173528,36523,0.292184
19.375,1.286624523,34035,0.27228
19.292,1.298129527,34348,0.274784
19.208,1.281129343,37923,0.303384
19.125,1.259334951,31617,0.252936
19.042,1.297197353,31386,0.251088
18.958,1.169730847,38891,0.311128
18.875,1.159467942,45782,0.366256
18.792,1.11966417,50530,0.40424
18.708,1.17705696,51381,0.411048
18.625,1.169871763,54192,0.433536
18.542,1.151894996,54022,0.432176
18.458,1.211369939,49271,0.394168
18.375,1.109880361,58611,0.468888
18.292,1.046185773,55112,0.440896
18.208,0.999333226,51447,0.411576
18.125,1.012791592,49109,0.392872
18.042,1.033406089,48636,0.389088
17.958,1.103976711,51609,0.412872
17.875,1.155261666,43729,0.349832
17.792,1.229857034,37970,0.30376
17.708,1.313412524,37850,0.3028
17.625,1.344203935,35421,0.283368
17.542,1.351576758,32155,0.25724
17.458,1.409989283,29339,0.234712
17.375,1.470058609,27484,0.219872
17.292,1.406648687,26770,0.21416
17.208,1.442633095,27938,0.223504
17.125,1.413841751,32317,0.258536
17.042,1.391748426,37010,0.29608
16.958,1.316660033,39345,0.31476
16.875,1.313024265,43409,0.347272
16.792,1.418134692,46609,0.372872
16.708,1.46248043,44611,0.356888
16.625,1.374714205,43357,0.346856
16.542,1.335481174,46016,0.368128
16.458,1.255793124,47289,0.378312
